original,reason
.DS_Store,"Finder metadata; no portfolio value, harmless noise."
Olist Project 1 Sept 6/olist_customers_dataset.csv,"Original raw dataset; excluded by packaging decision, hashes/row counts retained."
Olist Project 1 Sept 6/olist_geolocation_dataset.csv,"Original raw dataset; excluded by packaging decision, hashes/row counts retained."
Olist Project 1 Sept 6/olist_order_items_dataset.csv,"Original raw dataset; excluded by packaging decision, hashes/row counts retained."
Olist Project 1 Sept 6/olist_order_payments_dataset.csv,"Original raw dataset; excluded by packaging decision, hashes/row counts retained."
Olist Project 1 Sept 6/olist_order_reviews_dataset.csv,"Original raw dataset; excluded by packaging decision, hashes/row counts retained."
Olist Project 1 Sept 6/olist_orders_dataset.csv,"Original raw dataset; excluded by packaging decision, hashes/row counts retained."
Olist Project 1 Sept 6/olist_products_dataset.csv,"Original raw dataset; excluded by packaging decision, hashes/row counts retained."
Olist Project 1 Sept 6/olist_sellers_dataset.csv,"Original raw dataset; excluded by packaging decision, hashes/row counts retained."
Olist Project 1 Sept 6/product_category_name_translation.csv,"Original raw dataset; excluded by packaging decision, hashes/row counts retained."
Olist Project 1 Sept 6.zip,Source archive or duplicate execution bundle; avoid large/redundant packaged inputs.
Project 1 Olist SQL Executed Sept 6.zip,Source archive or duplicate execution bundle; avoid large/redundant packaged inputs.
Project 1 Olist SQL Report.html,Duplicate narrative/embedded images; Markdown is the maintained public documentation.
Project 1 State Sept 6 2026.md,Internal execution handoff; superseded for publication preparation by GITHUB_HANDOFF.
olist_sql/12_execute_notebook.py,Historical flat-layout executor writes delivered notebook and assumes fixed paths; replaced by explicit CLI pipeline. Original retained untouched.
olist_sql/EXECUTIVE_SUMMARY.html,Duplicate narrative/embedded images; Markdown is the maintained public documentation.
olist_sql/PACKAGE_MANIFEST.json,Stale package inventory with old paths; replaced by current inventory plus original pre-edit inventory.
olist_sql/PORTFOLIO_CARD.html,Duplicate narrative/embedded images; Markdown is the maintained public documentation.
olist_sql/PROJECT_STATE_2026-09-06_EXECUTED.md,Internal execution handoff; superseded for publication preparation by GITHUB_HANDOFF.
olist_sql/REPORT.html,Duplicate narrative/embedded images; Markdown is the maintained public documentation.
olist_sql/charts/01_category_pareto.svg,Duplicate chart format; PNG renders directly on GitHub and is sufficient here.
olist_sql/charts/02_volume_price.svg,Duplicate chart format; PNG renders directly on GitHub and is sufficient here.
olist_sql/charts/03_delivery_reviews.svg,Duplicate chart format; PNG renders directly on GitHub and is sufficient here.
olist_sql/charts/04_monthly_top5.svg,Duplicate chart format; PNG renders directly on GitHub and is sufficient here.
olist_sql/charts/05_freight_ratio.svg,Duplicate chart format; PNG renders directly on GitHub and is sufficient here.
olist_sql/charts/06_seller_concentration.svg,Duplicate chart format; PNG renders directly on GitHub and is sufficient here.
olist_sql/evidence/source_code_hashes.json,"Hashes refer to earlier attached reference files, not current packaged code; replaced by source-code/original inventories."
olist_sql/olist.manifest.json,Redundant input manifest lacks byte sizes; canonical evidence/input_manifest.json retained.
olist_sql/reference_v2/02_PROJECT_REFERENCE.md,"Internal project reference/archived guide/previous handoff, not needed to inspect public results."
olist_sql/reference_v2/03_GUIDE_v2.md,"Internal project reference/archived guide/previous handoff, not needed to inspect public results."
olist_sql/reference_v2/04_QA_AND_HANDOFF.md,"Internal project reference/archived guide/previous handoff, not needed to inspect public results."
olist_sql/reference_v2/PROJECT_STATE_2026-09-06_PREVIOUS.md,"Internal project reference/archived guide/previous handoff, not needed to inspect public results."
olist_sql/results/QA_PASSED.json,Old marker has no result hashes; replaced with a verified hash-bound certificate.
