claim_id,exact_claim,numerator,denominator,units,result_files,limitation,kind,window,source_manifest
C01,"89,860 eligible orders",count distinct eligible order_id,not applicable,orders,../results/metrics.json; ../evidence/qa_checks.csv,All have items,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C02,"102,738 item rows",count order_id + order_item_id,not applicable,items,../results/metrics.json; ../evidence/qa_checks.csv,No join multiplication,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C03,"12,342,450.49 item sales BRL","1,234,245,049 cents",100 cents/BRL,BRL,../results/category_totals_cents.csv; ../evidence/qa_checks.csv,Excludes freight; no profit claim,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C04,Top 18 category buckets: 81.3609%,sum Q07 sales ranks 1..18,"12,342,450.49 BRL",percent,../results/Q07.csv,74 buckets includes unknown/untranslated,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C05,Late 6+ days mean score 1.73,6147 score points,3555 reviewed orders,score /5,../results/Q11.csv; ../results/delivery_numerators.csv,Whole-order rating; association only,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C06,Early 5+ days mean score 4.30,332054 score points,77159 reviewed orders,score /5,../results/Q11.csv; ../results/delivery_numerators.csv,Different populations; not causal,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C07,Office furniture low ratings 21.89%,266 low-rated orders,1215 reviewed orders,percent,../results/Q06.csv,Rounded; multi-category attribution,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C08,Electronics freight ratio 30.15%,43482.33 freight BRL,144196.37 item sales BRL,percent,../results/Q05.csv,Not cost or margin,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C09,Observed repeat buyers 3.00%,2609 buyers with 2+ orders,86960 valid observed buyers,percent,../results/Q10.csv,Not lifetime retention,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C10,Top 503 sellers: 80.0024% item sales,sum Q12 sales ranks 1..503,"12,342,450.49 BRL",percent,../results/Q12.csv,2793 sellers; no service-quality inference,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C11,Unsafe raw join inflation 5.052983%,12966112.46 - 12342450.49 BRL,12342450.49 BRL,percent,../results/join_inflation_diagnostic.csv,Diagnostic result; never the sales result,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C12,Unknown item sales 168461.69 BRL,16846169 cents,100 cents/BRL,BRL,../results/unknown_categories.csv,1504 item rows retained,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
C13,Top five categories 39.8293%,sum Q07 ranks 1..5 item sales,12342450.49 BRL,percent,../results/Q07.csv,Same window,observed,"Delivered orders purchased 1 January 2017–31 July 2018; [2017-01-01, 2018-08-01). Brazil; BRL.",../evidence/input_manifest.json
