check,passed,actual,expected
raw_to_item_base_n_items,True,102738,102738
raw_to_item_base_n_orders,True,89860,89860
raw_to_item_base_sales_cents,True,1234245049,1234245049
category_sales_cents,True,1234245049,1234245049
review_one_unique,True,0,0
Q11_valid_delivery_orders,True,89852,89852
same_calendar_date_not_late,True,1024,1024
Q07_monotonic,True,True,True
Q07_ends_100,True,100.0,100
Q12_monotonic,True,True,True
Q12_ends_100,True,100.0,100
Q04_sales_reconcile,True,1234245049,1234245049
Q05_sales_reconcile,True,1234245049,1234245049
Q07_sales_reconcile,True,1234245049,1234245049
Q09_sales_reconcile,True,1234245049,1234245049
Q12_sales_reconcile,True,1234245049,1234245049
Q10_buyer_denominator,True,86960,86960
Q01_all_raw_orders,True,99441,99441
Q09_item_orders,True,89860,89860
Q08_month_spine,True,95,95
